pattern_num,pt_num,r,p,yaw,obs_x,obs_y,err_x,err_y
4,22,0.00451473,3.18447,-0.133258,551.785,845.2,-0.166687,0.100525
4,23,0.00451473,3.18447,-0.133258,550.58,1003,-0.392639,0.255371
4,24,0.00451473,3.18447,-0.133258,475.975,455.336,-0.24057,-0.162018
4,25,0.00451473,3.18447,-0.133258,474.602,610.891,-0.238892,-0.114929
4,26,0.00451473,3.18447,-0.133258,473.245,767.295,-0.309662,-0.057312
4,27,0.00451473,3.18447,-0.133258,472.019,924.443,-0.33905,-0.0561523
5,0,0.00445726,3.18597,-0.132194,1150.55,452.544,0.203369,-0.851898
5,1,0.00445726,3.18597,-0.132194,1151.01,608.516,0.427246,-0.709045
5,2,0.00445726,3.18597,-0.132194,1151.16,765.498,0.306152,-0.394714
5,3,0.00445726,3.18597,-0.132194,1151.41,923.143,0.249878,-0.216797
5,4,0.00445726,3.18597,-0.132194,1071.38,531.46,0.179565,-0.509705
5,5,0.00445726,3.18597,-0.132194,1071.49,687.651,0.218506,-0.482239
5,6,0.00445726,3.18597,-0.132194,1071.56,844.95,0.187988,-0.164612
5,7,0.00445726,3.18597,-0.132194,1071.65,1003.02,0.129883,0.150146
5,8,0.00445726,3.18597,-0.132194,992.239,454.605,0.11438,-0.441101
5,9,0.00445726,3.18597,-0.132194,992.065,610.367,0.081543,-0.325623
5,10,0.00445726,3.18597,-0.132194,991.988,767.054,0.101257,-0.121765
5,11,0.00445726,3.18597,-0.132194,991.742,924.417,-0.0940552,-0.0388794
