pattern_num,pt_num,r,p,yaw,obs_x,obs_y,err_x,err_y
10,2,-0.0223152,3.33825,-0.152056,545.099,1013.71,0.120178,-0.0318604
10,3,-0.0223152,3.33825,-0.152056,540.529,1172.14,0.00335693,0.0369873
10,4,-0.0223152,3.33825,-0.152056,475.355,777.961,0.165405,-0.140076
10,5,-0.0223152,3.33825,-0.152056,470.607,934.887,0.133728,-0.15564
10,6,-0.0223152,3.33825,-0.152056,465.879,1092.85,0.0420227,0.151855
10,7,-0.0223152,3.33825,-0.152056,461.29,1251.35,0.00802612,0.341431
10,8,-0.0223152,3.33825,-0.152056,401.697,700.593,0.261719,-0.107239
10,9,-0.0223152,3.33825,-0.152056,396.654,856.894,0.130066,-0.00811768
10,10,-0.0223152,3.33825,-0.152056,391.775,1013.96,0.0769653,0.128967
10,11,-0.0223152,3.33825,-0.152056,386.777,1171.6,-0.184235,0.148315
10,12,-0.0223152,3.33825,-0.152056,323.3,779.382,0.16568,0.0561523
10,13,-0.0223152,3.33825,-0.152056,317.974,935.714,-0.140869,0.188721
10,14,-0.0223152,3.33825,-0.152056,313.045,1092.6,-0.146271,0.17041
10,15,-0.0223152,3.33825,-0.152056,308.238,1250.25,-0.124268,0.263672
10,16,-0.0223152,3.33825,-0.152056,250.362,702.437,0.0504913,0.117004
10,17,-0.0223152,3.33825,-0.152056,245.133,857.87,0.0395355,0.0913086
10,18,-0.0223152,3.33825,-0.152056,239.903,1013.97,-0.0740967,0.00891113
10,19,-0.0223152,3.33825,-0.152056,234.895,1170.98,-0.067276,0.1604
10,20,-0.0223152,3.33825,-0.152056,172.786,780.662,0.1474,0.0626221
10,21,-0.0223152,3.33825,-0.152056,167.386,936.112,0.0616455,0.0632935
10,22,-0.0223152,3.33825,-0.152056,162.241,1092.44,0.12236,0.250732
10,23,-0.0223152,3.33825,-0.152056,157.013,1249.29,-0.0120087,0.302612
10,24,-0.0223152,3.33825,-0.152056,100.916,704.013,0.159363,0.0197754
10,25,-0.0223152,3.33825,-0.152056,95.3708,858.789,0.130783,0.0888672
10,26,-0.0223152,3.33825,-0.152056,89.8599,1014.25,0.0215683,0.126404
10,27,-0.0223152,3.33825,-0.152056,84.597,1170.26,0.0430603,0.0406494
11,0,-0.0235156,3.33756,-0.155402,557.6,972.611,-0.0209351,-0.387817
11,1,-0.0235156,3.33756,-0.155402,553.223,1130.45,0.194153,-0.189575
11,2,-0.0235156,3.33756,-0.155402,548.608,1288.95,0.0994263,0.0020752
11,3,-0.0235156,3.33756,-0.155402,544.038,1447.96,-0.0255737,0.0830078
11,4,-0.0235156,3.33756,-0.155402,478.735,1051.57,0.0800171,-0.0740967
11,5,-0.0235156,3.33756,-0.155402,474.052,1209.13,0.0973511,-0.124146
11,6,-0.0235156,3.33756,-0.155402,469.353,1367.68,0.0166626,0.17749
11,7,-0.0235156,3.33756,-0.155402,464.816,1526.67,0.0146179,0.322144
11,8,-0.0235156,3.33756,-0.155402,404.984,973.157,0.153778,-0.034729
11,9,-0.0235156,3.33756,-0.155402,399.992,1130.11,0.0464172,0.0131836
11,10,-0.0235156,3.33756,-0.155402,395.18,1287.84,0.0321045,0.17981
11,11,-0.0235156,3.33756,-0.155402,390.314,1446.02,-0.12677,0.189941
11,12,-0.0235156,3.33756,-0.155402,326.63,1051.55,0.144653,0.0673828
11,13,-0.0235156,3.33756,-0.155402,321.328,1208.56,-0.176361,0.213257
11,14,-0.0235156,3.33756,-0.155402,316.485,1366.04,-0.133789,0.195923
11,15,-0.0235156,3.33756,-0.155402,311.788,1524.16,-0.0448303,0.228149
11,16,-0.0235156,3.33756,-0.155402,253.553,973.591,-0.0260162,0.167175
11,17,-0.0235156,3.33756,-0.155402,248.429,1129.7,0.0185089,0.116211
11,18,-0.0235156,3.33756,-0.155402,243.288,1286.46,-0.0544128,0.0737305
11,19,-0.0235156,3.33756,-0.155402,238.399,1443.9,0.0196838,0.100464
11,20,-0.0235156,3.33756,-0.155402,175.994,1051.42,0.121841,0.0640869
11,21,-0.0235156,3.33756,-0.155402,170.696,1207.54,0.0783691,0.0737305
11,22,-0.0235156,3.33756,-0.155402,165.621,1364.43,0.14769,0.228516
11,23,-0.0235156,3.33756,-0.155402,160.534,1521.77,0.0914001,0.251709
11,24,-0.0235156,3.33756,-0.155402,104.014,973.713,0.119301,0.0195312
